County,DEM,REP,BAR,GRN,LIB,WCP,OTH,UNA,TOTAL
Allegany,11907,22611,0,77,220,65,383,8252,43515
Anne Arundel,173039,129675,0,0,0,0,0,0,302714
Baltimore City,303084,28256,0,891,1060,594,3945,55849,393679
Baltimore County,308209,137081,0,341,844,241,2382,39796,488894
Calvert,23809,27629,0,90,413,61,555,15221,67778
Caroline,6296,10416,0,0,0,0,0,0,16712
Carroll,33407,63517,0,190,788,89,1044,27997,127032
Cecil,20712,31610,0,112,435,98,689,16367,70023
Charles,73880,23285,0,129,412,138,862,21605,120311
Dorchester,9580,8905,0,4,24,8,35,801,19357
Frederick,75588,67732,0,306,1102,163,1034,47278,193203
Garrett,3750,13524,0,25,96,20,162,2783,20360
Harford,65035,79500,0,169,759,135,1105,27332,174035
Howard,120009,49052,0,339,871,123,2012,55613,228019
Kent,5819,5196,0,17,64,20,111,2541,13768
Montgomery,407424,97610,0,1083,2191,414,5646,156104,670472
Prince George's,461466,37400,0,68,95,77,1330,8542,508978
Queen Anne's,11021,19412,0,42,219,33,297,7891,38915
Saint Mary's,25480,31599,0,106,467,79,635,16625,74991
Somerset,5566,5904,0,0,0,0,0,0,11470
Talbot,10754,11580,0,0,0,0,0,0,22334
Washington,31239,43426,0,0,0,0,0,0,74665
Wicomico,26777,23754,0,97,336,98,674,13290,65026
Worcester,13852,18802,0,0,0,0,0,0,32654
TOTAL,2227703,987476,0,4086,10396,2456,22901,523887,3778905
